name	uci
Amar Gambit	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4
Amar Opening	g1h3
Amar Opening: Gent Gambit	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3
Amar Opening: Paris Gambit	g1h3 d7d5 g2g3 e7e5 f2f4
Amsterdam Attack	e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6
Anderssen's Opening	a2a3
Anderssen's Opening: Polish Gambit	a2a3 a7a5 b2b4
Barnes Opening	f2f3
Barnes Opening: Fool's Mate	f2f3 e7e5 g2g4 d8h4
Barnes Opening: Gedult Gambit	f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3
Barnes Opening: Gedult Gambit	f2f3 f7f5 e2e4 f5e4 b1c3
Barnes Opening: Hammerschlag	f2f3 e7e5 e1f2
Clemenz Opening	h2h3
Clemenz Opening: Spike Lee Gambit	h2h3 h7h5 g2g4
Crab Opening	a2a4 e7e5 h2h4
Creepy Crawly Formation: Classical Defense	h2h3 d7d5 a2a3 e7e5
Formation: Hippopotamus Attack	a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3
Formation: Shy Attack	a2a3 e7e5 g2g3 d7d5 f1g2 g8f6 d2d3 b8c6 b1d2 f8d6 e2e3 e8g8 h2h3
Global Opening	h2h3 e7e5 a2a3
Grob Opening	g2g4
Grob Opening: Alessi Gambit	g2g4 f7f5
Grob Opening: Double Grob	g2g4 g7g5
Grob Opening: Double Grob, Coca-Cola Gambit	g2g4 g7g5 f2f4
Grob Opening: Grob Gambit	g2g4 d7d5 f1g2
Grob Opening: Grob Gambit Declined	g2g4 d7d5 f1g2 c7c6
Grob Opening: Grob Gambit, Basman Gambit	g2g4 d7d5 f1g2 h7h5 g4h5
Grob Opening: Grob Gambit, Fritz Gambit	g2g4 d7d5 f1g2 c8g4 c2c4
