name	uci
Barnes Defense	e2e4 f7f6
Borg Defense	e2e4 g7g5
Borg Defense: Borg Gambit	e2e4 g7g5 d2d4 f8g7
Borg Defense: Troon Gambit	e2e4 g7g5 d2d4 h7h6 h2h4 g5g4
Borg Defense: Zilbermints Gambit	e2e4 g7g5 d2d4 e7e5
Carr Defense	e2e4 h7h6
Carr Defense: Zilbermints Gambit	e2e4 h7h6 d2d4 e7e5
Duras Gambit	e2e4 f7f5
Fried Fox Defense	e2e4 f7f6 d2d4 e8f7
Goldsmith Defense	e2e4 h7h5
Goldsmith Defense: Picklepuss Defense	e2e4 h7h5 d2d4 g8f6
Guatemala Defense	e2e4 b7b6 d2d4 c8a6
Hippopotamus Defense	e2e4 g8h6
Hippopotamus Defense	e2e4 g8h6 d2d4 g7g6 c2c4 f7f6
King's Pawn Game	e2e4
Lemming Defense	e2e4 b8a6
Lion Defense: Lion's Jaw	e2e4 d7d6 d2d4 g8f6 f2f3
Nimzowitsch Defense	e2e4 b8c6
Nimzowitsch Defense	e2e4 b8c6 d2d4
Nimzowitsch Defense: Breyer Variation	e2e4 b8c6 b1c3 g8f6 d2d4 e7e5
Nimzowitsch Defense: Colorado Countergambit	e2e4 b8c6 g1f3 f7f5
Nimzowitsch Defense: Colorado Countergambit Accepted	e2e4 b8c6 g1f3 f7f5 e4f5
Nimzowitsch Defense: Declined Variation	e2e4 b8c6 g1f3
Nimzowitsch Defense: El Columpio Defense	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4
Nimzowitsch Defense: El Columpio Defense, El Columpio Gambit	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 e5e6
Nimzowitsch Defense: El Columpio Defense, Exchange Variation	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 e5d6
Nimzowitsch Defense: El Columpio Defense, Pin Variation	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 f1b5
Nimzowitsch Defense: Franco-Nimzowitsch Variation	e2e4 b8c6 g1f3 e7e6
Nimzowitsch Defense: French Connection	e2e4 b8c6 b1c3 e7e6
Nimzowitsch Defense: Hornung Gambit	e2e4 b8c6 d2d4 d7d5 c1e3
Nimzowitsch Defense: Kennedy Variation	e2e4 b8c6 d2d4 e7e5
Nimzowitsch Defense: Kennedy Variation, Bielefelder Gambit	e2e4 b8c6 d2d4 e7e5 d4e5 f8c5
Nimzowitsch Defense: Kennedy Variation, Hammer Gambit	e2e4 b8c6 d2d4 e7e5 d4e5 f7f6
Nimzowitsch Defense: Kennedy Variation, Herford Gambit	e2e4 b8c6 d2d4 e7e5 d4e5 d8h4
Nimzowitsch Defense: Kennedy Variation, Keres Attack	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 b1c3
Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation	e2e4 b8c6 d2d4 e7e5 d4d5
Nimzowitsch Defense: Kennedy Variation, Main Line	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 f2f4 e5g6
Nimzowitsch Defense: Kennedy Variation, Paulsen Attack	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 g1f3
Nimzowitsch Defense: Kennedy Variation, Riemann Defense	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 f2f4 e5c6
Nimzowitsch Defense: Kennedy Variation, de Smet Gambit	e2e4 b8c6 d2d4 e7e5 d4e5 d7d6
Nimzowitsch Defense: Mikenas Variation	e2e4 b8c6 d2d4 d7d6
Nimzowitsch Defense: Neo-Mongoloid Defense	e2e4 b8c6 d2d4 f7f6
Nimzowitsch Defense: Pirc Connection	e2e4 b8c6 b1c3 g7g6
Nimzowitsch Defense: Pseudo-Spanish Variation	e2e4 b8c6 f1b5
Nimzowitsch Defense: Scandinavian Variation	e2e4 b8c6 d2d4 d7d5
Nimzowitsch Defense: Scandinavian Variation, Aachen Gambit	e2e4 b8c6 d2d4 d7d5 e4d5 c6b4
Nimzowitsch Defense: Scandinavian Variation, Advance Variation	e2e4 b8c6 d2d4 d7d5 e4e5
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation	e2e4 b8c6 d2d4 d7d5 b1c3
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation	e2e4 b8c6 d2d4 d7d5 b1c3 d5e4
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Brandics Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 a7a6
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Erben Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 g7g6
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 e7e5
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Nimzowitsch Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5 c6e5
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Richter Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5 c6b8 f2f3
Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Vehre Variation	e2e4 b8c6 d2d4 d7d5 b1c3 g8f6
Nimzowitsch Defense: Scandinavian Variation, Exchange Variation	e2e4 b8c6 d2d4 d7d5 e4d5 d8d5
Nimzowitsch Defense: Scandinavian Variation, Exchange Variation, Marshall Gambit	e2e4 b8c6 d2d4 d7d5 e4d5 d8d5 b1c3
Nimzowitsch Defense: Wheeler Gambit	e2e4 b8c6 b2b4
Nimzowitsch Defense: Williams Variation	e2e4 b8c6 g1f3 d7d6
Nimzowitsch Defense: Woodchuck Variation	e2e4 b8c6 d2d4 a7a6
Owen Defense	e2e4 b7b6
Owen Defense: Hekili-Loa Gambit	e2e4 b7b6 d2d4 c7c5 d4c5 b8c6
Owen Defense: Matovinsky Gambit	e2e4 b7b6 d2d4 c8b7 f1d3 f7f5 e4f5 b7g2 d1h5 g7g6
Owen Defense: Naselwaus Gambit	e2e4 b7b6 d2d4 c8b7 c1g5
Owen Defense: Smith Gambit	e2e4 b7b6 d2d4 c8b7 g1f3
Owen Defense: Unicorn Variation	e2e4 f7f6 d2d4 b7b6 c2c4 c8b7
Owen Defense: Wind Gambit	e2e4 b7b6 d2d4 c8b7 f2f3 e7e5
Pirc Defense	e2e4 d7d6
Pirc Defense	e2e4 d7d6 d2d4
Pirc Defense	e2e4 d7d6 d2d4 g8f6
Pirc Defense: Roscher Gambit	e2e4 d7d6 d2d4 g8f6 g1f3
Rat Defense: Antal Defense	e2e4 d7d6 d2d4 b8d7
Rat Defense: Fuller Gambit	e2e4 d7d6 f2f4 d6d5 e4d5 g8f6
Rat Defense: Harmonist	e2e4 d7d6 f2f4
Rat Defense: Petruccioli Attack	e2e4 d7d6 h2h4
Rat Defense: Spike Attack	e2e4 d7d6 g2g4
St. George Defense	e2e4 a7a6
St. George Defense: Polish Variation	e2e4 a7a6 d2d4 b7b5 g1f3 c8b7 f1d3 e7e6
St. George Defense: San Jorge Variation	e2e4 a7a6 d2d4 b7b5 g1f3 c8b7 f1d3 d7d6 e1g1 g7g6 c2c3 f8g7
St. George Defense: Zilbermints Gambit	e2e4 a7a6 d2d4 e7e5
Van Geet Opening: Berlin Gambit	e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5
Ware Defense	e2e4 a7a5
Ware Defense: Snagglepuss Defense	e2e4 a7a5 d2d4 b8c6
Scandinavian Defense	e2e4 d7d5
Scandinavian Defense	e2e4 d7d5 b2b3
Scandinavian Defense: Anderssen Counterattack	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5
Scandinavian Defense: Anderssen Counterattack, Collijn Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3 c8g4
Scandinavian Defense: Anderssen Counterattack, Goteborg System	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 g1f3
Scandinavian Defense: Anderssen Counterattack, Orthodox Attack	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 d4e5 b8c6 g1f3 f8b4 c1d2
Scandinavian Defense: Blackburne Gambit	e2e4 d7d5 e4d5 c7c6 d5c6 b8c6
Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4 d7d5 e4d5 c7c6
Scandinavian Defense: Boehnke Gambit	e2e4 d7d5 e4d5 e7e5 d5e6 c8e6
Scandinavian Defense: Bronstein Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 g8f6 g1f3 a7a6
Scandinavian Defense: Classical Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5
Scandinavian Defense: Grünfeld Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8f5 f3e5 c7c6 g2g4
Scandinavian Defense: Gubinsky-Melts Defense	e2e4 d7d5 e4d5 d8d5 b1c3 d5d6
Scandinavian Defense: Icelandic-Palme Gambit	e2e4 d7d5 e4d5 g8f6 c2c4 e7e6
Scandinavian Defense: Kiel Variation	e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b4
Scandinavian Defense: Kloosterboer Gambit	e2e4 d7d5 e4d5 c7c6 d5c6 e7e5
Scandinavian Defense: Kádas Gambit	e2e4 d7d5 e4d5 g8f6 d2d4 c7c6 d5c6 e7e5
Scandinavian Defense: Lasker Variation	e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 c8g4 h2h3
