name	uci
Barnes Defense	e2e4 f7f6
Borg Defense	e2e4 g7g5
Borg Defense: Borg Gambit	e2e4 g7g5 d2d4 f8g7
Borg Defense: Troon Gambit	e2e4 g7g5 d2d4 h7h6 h2h4 g5g4
Borg Defense: Zilbermints Gambit	e2e4 g7g5 d2d4 e7e5
Carr Defense	e2e4 h7h6
Carr Defense: Zilbermints Gambit	e2e4 h7h6 d2d4 e7e5
Duras Gambit	e2e4 f7f5
Fried Fox Defense	e2e4 f7f6 d2d4 e8f7
Goldsmith Defense	e2e4 h7h5
Goldsmith Defense: Picklepuss Defense	e2e4 h7h5 d2d4 g8f6
Guatemala Defense	e2e4 b7b6 d2d4 c8a6
Hippopotamus Defense	e2e4 g8h6
Hippopotamus Defense	e2e4 g8h6 d2d4 g7g6 c2c4 f7f6
King's Pawn Game	e2e4
Lemming Defense	e2e4 b8a6
