name	uci
French Defense	e2e4 e7e6
French Defense	e2e4 e7e6 d2d4 d7d5
French Defense: Alapin Gambit	e2e4 e7e6 d2d4 d7d5 c1e3
French Defense: Baeuerle Gambit	e2e4 e7e6 d2d4 b7b5
French Defense: Banzai-Leong Gambit	e2e4 e7e6 b2b4
French Defense: Banzai-Leong Gambit, Pinova Gambit	e2e4 e7e6 b2b4 f8b4 e4e5
French Defense: Bird Invitation	e2e4 e7e6 f1b5
French Defense: Carlson Gambit	e2e4 e7e6 d2d4 d7d5 g1f3 d5e4 f3e5
French Defense: Chigorin Variation	e2e4 e7e6 d1e2
French Defense: Diemer-Duhm Gambit	e2e4 e7e6 d2d4 d7d5 c2c4
French Defense: Diemer-Duhm Gambit Accepted	e2e4 e7e6 d2d4 d7d5 c2c4 d5e4
French Defense: Franco-Hiva Gambit	e2e4 e7e6 d2d4 f7f5
French Defense: Franco-Hiva Gambit Accepted	e2e4 e7e6 d2d4 f7f5 e4f5
French Defense: Franco-Sicilian Defense	e2e4 e7e6 d2d4 c7c5
French Defense: Hoffmann Gambit	e2e4 e7e6 d2d4 d7d5 d1e2 e6e5 f2f4 e5f4
French Defense: Horwitz Attack	e2e4 e7e6 b2b3
French Defense: Horwitz Attack, Papa-Ticulat Gambit	e2e4 e7e6 b2b3 d7d5 c1b2
French Defense: King's Indian Attack	e2e4 e7e6 d2d3
French Defense: King's Indian Attack, Franco-Hiva Gambit	e2e4 e7e6 d2d3 f7f5
French Defense: Knight Variation	e2e4 e7e6 g1f3
French Defense: Knight Variation, Franco-Hiva Gambit	e2e4 e7e6 g1f3 f7f5
French Defense: La Bourdonnais Variation	e2e4 e7e6 f2f4
French Defense: La Bourdonnais Variation, Reuter Gambit	e2e4 e7e6 f2f4 d7d5 g1f3 d5e4
French Defense: Mediterranean Defense	e2e4 e7e6 d2d4 g8f6
French Defense: Morphy Gambit	e2e4 e7e6 d2d4 d7d5 g1h3
French Defense: Normal Variation	e2e4 e7e6 d2d4
French Defense: Orthoschnapp Gambit	e2e4 e7e6 c2c4 d7d5 c4d5 e6d5 d1b3
French Defense: Pelikan Variation	e2e4 e7e6 b1c3 d7d5 f2f4
French Defense: Perseus Gambit	e2e4 e7e6 d2d4 d7d5 g1f3
French Defense: Queen's Knight	e2e4 e7e6 b1c3
French Defense: Reversed Philidor Formation	e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g1f3 b8c6 f1e2
French Defense: Réti-Spielmann Attack	e2e4 e7e6 g2g3
French Defense: Schlechter Variation	e2e4 e7e6 d2d4 d7d5 f1d3
French Defense: St. George Defense	e2e4 e7e6 d2d4 a7a6
