name	uci
Amazon Attack	d2d4 d7d5 d1d3
Blackmar-Diemer Gambit	d2d4 d7d5 e2e4
Blackmar-Diemer Gambit	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6
Blackmar-Diemer Gambit Accepted	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3
Blackmar-Diemer Gambit Accepted: Bogoljubow Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6
Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Kloss Attack	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 g1h1
Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Mad Dog Attack	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 h2h4
Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Nimzowitsch Attack	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 f3e5
Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Studier Attack	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 d1e1
Blackmar-Diemer Gambit Accepted: Euwe Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 e7e6
Blackmar-Diemer Gambit Accepted: Euwe Defense, Zilbermints Gambit	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 e7e6 c1g5 f8e7 f1d3 b8c6 e1g1 c6d4 g1h1
Blackmar-Diemer Gambit Accepted: Gunderam Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8f5
Blackmar-Diemer Gambit Accepted: Gunderam Defense, Stader Variation	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8f5 f3e5 e7e6 g2g4 f5e4
Blackmar-Diemer Gambit Accepted: Holwell Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 d8d6
Blackmar-Diemer Gambit Accepted: Kaulich Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c5
Blackmar-Diemer Gambit Accepted: Pietrowsky Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8c6
Blackmar-Diemer Gambit Accepted: Ritter Defense	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b7b6
Blackmar-Diemer Gambit Accepted: Ryder Gambit	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 d1f3
